algorithm,wind_proportion,n_planning_updates,mean_runtime,std_runtime,final_return
Q-Learning,0.9,0,0.6169119625497842,0.0417883903510344,65.43537037037036
Dyna,0.9,5,0.7302236229003028,0.0626490403520843,71.51222222222222
Prioritized Sweeping,0.9,3,1.0293726146497648,0.17827421980937222,31.858148148148146
Q-Learning,1.0,0,0.6099346271505055,0.02726724784887699,82.0
Dyna,1.0,3,0.5705722707501991,0.016162942648240645,84.0
Prioritized Sweeping,1.0,1,0.5670875415991758,0.05356778688650997,84.0
